Node, distance From sink, messages completed, rounds completed, finalRank, x, y, diedAt, nodes in Range,earliestBeacon
normal-0, 207.96634, 0.0, 521,100, 63, 159,66186.20000000254, 16,-2147483648
normal-1, 189.16924, 0.0, 521,100, 154, 413,66249.20000000254, 26,-2147483648
normal-2, 140.0357, 0.0, 549,100, 111, 267,69789.80000000287, 20,-2147483648
normal-3, 72.691124, 1.0, 768,1, 240, 178,97683.1454545551, 20,1
normal-4, 222.50394, 0.0, 550,100, 68, 378,69960.00000000287, 26,-2147483648
normal-5, 58.898216, 1.0, 781,1, 288, 205,99300.20000000922, 17,1
normal-6, 156.4257, 0.0, 494,100, 163, 120,62762.80000000222, 24,-2147483648
normal-7, 209.35378, 0.0, 575,100, 305, 452,73097.00000000316, 23,-2147483648
normal-8, 253.9488, 0.0, 497,100, 149, 17,63133.40000000225, 11,-2147483648
normal-9, 294.6133, 0.0, 508,100, 484, 71,64574.600000002385, 15,-2147483648
normal-10, 204.27678, 0.0, 543,100, 377, 90,69068.60000000279, 24,-2147483648
normal-11, 252.94466, 0.0, 529,100, 40, 109,67266.80000000262, 16,-2147483648
normal-12, 178.3704, 0.0, 534,100, 340, 96,67860.80000000268, 23,-2147483648
normal-13, 147.48898, 0.0, 552,100, 262, 103,70150.40000000289, 20,-2147483648
normal-14, 148.14183, 0.0, 576,100, 311, 385,73203.20000000318, 30,-2147483648
normal-15, 272.25906, 0.0, 555,100, 445, 440,70511.00000000292, 16,-2147483648
normal-16, 205.79845, 0.0, 575,100, 422, 363,73034.00000000316, 20,-2147483648
normal-17, 211.00948, 0.0, 535,100, 252, 39,67988.00000000269, 17,-2147483648
normal-18, 316.2104, 0.0, 528,100, 20, 467,67097.60000000261, 12,-2147483648
normal-19, 239.253, 0.0, 491,100, 489, 239,62412.20000000218, 8,-2147483648
normal-20, 97.49359, 0.99939907, 767,1, 294, 337,97501.06666667429, 28,1
normal-21, 332.9294, 0.0, 521,100, 1, 471,66249.20000000253, 11,-2147483648
normal-22, 59.933296, 1.0, 790,1, 196, 276,100440.00000000883, 21,1
normal-23, 139.4023, 0.0, 542,100, 362, 333,68884.40000000277, 25,-2147483648
normal-24, 182.98907, 0.0, 567,100, 68, 269,72121.40000000306, 19,-2147483648
normal-25, 257.4102, 0.0, 553,100, 38, 396,70320.6000000029, 23,-2147483648
normal-26, 210.05951, 0.0, 562,100, 128, 79,71401.400000003, 21,-2147483648
normal-27, 206.78491, 0.0, 561,100, 232, 44,71342.200000003, 18,-2147483648
normal-28, 186.0672, 0.0, 577,100, 85, 336,73393.40000000318, 25,-2147483648
normal-29, 151.16878, 0.0, 531,100, 386, 316,67458.20000000266, 21,-2147483648
normal-30, 197.31194, 0.0, 546,100, 214, 444,69366.20000000282, 25,-2147483648
normal-31, 305.36044, 0.0, 543,100, 48, 479,69068.60000000279, 15,-2147483648
normal-32, 154.30489, 0.0, 558,100, 183, 389,70924.60000000297, 27,-2147483648
normal-33, 178.21335, 0.0, 558,100, 378, 126,70934.60000000296, 25,-2147483648
normal-34, 201.69284, 0.0, 579,100, 424, 352,73563.8000000032, 21,-2147483648
normal-35, 111.64677, 0.0, 543,100, 307, 346,69005.6000000028, 22,-2147483648
normal-36, 258.30603, 0.0, 570,100, 461, 399,72482.0000000031, 14,-2147483648
normal-37, 133.09395, 0.0, 541,100, 365, 317,68709.20000000278, 24,-2147483648
normal-38, 64.84597, 0.99697703, 761,1, 311, 228,96791.14117648022, 21,1
normal-39, 194.16487, 0.0, 572,100, 258, 444,72673.40000000312, 22,-2147483648
normal-40, 165.02727, 0.0, 504,100, 415, 253,64023.80000000233, 19,-2147483648
normal-41, 94.33981, 0.9968092, 760,1, 258, 156,96608.00000000799, 22,1
normal-42, 175.76405, 0.0, 566,100, 327, 92,71952.20000000305, 25,-2147483648
normal-43, 107.33126, 0.0, 546,100, 298, 346,69429.20000000283, 26,-2147483648
normal-44, 260.21915, 0.0, 576,100, 433, 65,73203.20000000318, 24,-2147483648
normal-45, 274.05292, 0.0, 575,100, 67, 454,73034.00000000316, 23,-2147483648
normal-46, 217.20036, 0.0, 552,100, 76, 120,70150.4000000029, 20,-2147483648
normal-47, 224.45044, 0.0, 572,100, 423, 393,72673.40000000312, 20,-2147483648
normal-48, 318.96866, 0.0, 508,100, 471, 20,64574.600000002385, 11,-2147483648
normal-49, 162.80049, 0.0, 551,100, 152, 380,70086.2000000029, 22,-2147483648
normal-50, 211.94576, 0.0, 567,100, 39, 270,72121.40000000306, 15,-2147483648
normal-51, 255.22539, 0.0, 504,100, 496, 318,64023.80000000233, 10,-2147483648
normal-52, 129.37543, 0.0, 526,100, 137, 187,66906.20000000259, 24,-2147483648
normal-53, 216.44861, 0.0, 577,100, 275, 465,73393.40000000318, 19,-2147483648
normal-54, 147.12239, 0.0, 586,100, 292, 391,74538.2000000033, 26,-2147483648
normal-55, 226.56566, 0.0, 492,100, 476, 234,62476.40000000219, 9,-2147483648
normal-56, 93.17188, 0.9987547, 751,1, 341, 230,95525.36666667376, 21,1
normal-57, 209.22954, 0.0, 581,100, 386, 91,73804.8666666699, 25,-2147483648
normal-58, 161.01242, 0.0, 567,100, 120, 345,72121.40000000306, 28,-2147483648
normal-59, 238.7572, 0.0, 553,100, 173, 24,70277.6000000029, 16,-2147483648
normal-60, 127.94139, 0.0, 554,100, 137, 310,70446.80000000291, 30,-2147483648
normal-61, 248.01814, 0.0, 519,100, 253, 2,66000.8000000025, 10,-2147483648
normal-62, 198.92712, 0.0, 583,100, 284, 446,74051.60000000327, 21,-2147483648
normal-63, 196.08672, 0.0, 565,100, 413, 359,71762.00000000304, 20,-2147483648
normal-64, 276.50134, 0.0, 526,100, 52, 57,66906.20000000259, 11,-2147483648
normal-65, 126.58989, 0.0, 545,100, 362, 309,69240.00000000282, 24,-2147483648
normal-66, 215.37874, 0.0, 566,100, 288, 38,71952.20000000305, 17,-2147483648
normal-67, 185.07565, 0.0, 559,100, 93, 152,71103.80000000299, 21,-2147483648
normal-68, 159.01257, 0.0, 576,100, 313, 396,73203.20000000318, 29,-2147483648
normal-69, 114.85643, 0.0, 543,100, 184, 344,69068.60000000279, 25,-2147483648
normal-70, 114.12712, 0.0, 555,100, 195, 350,70511.00000000292, 24,-2147483648
normal-71, 128.19127, 0.0, 565,100, 257, 122,71762.00000000304, 26,-2147483648
normal-72, 168.19037, 0.0, 570,100, 178, 98,72482.00000000311, 30,-2147483648
normal-73, 307.94968, 0.0, 546,100, 22, 457,69429.20000000282, 15,-2147483648
normal-74, 224.3212, 0.0, 577,100, 442, 134,73393.40000000318, 24,-2147483648
normal-75, 271.58792, 0.0, 553,100, 54, 438,70320.6000000029, 19,-2147483648
normal-76, 170.65169, 0.0, 575,100, 349, 111,73097.00000000316, 25,-2147483648
normal-77, 240.80075, 0.0, 568,100, 19, 318,72248.60000000308, 15,-2147483648
normal-78, 298.4443, 0.0, 515,100, 87, 500,65465.00000000246, 14,-2147483648
normal-79, 215.92822, 0.0, 583,100, 291, 462,74114.60000000325, 20,-2147483648
normal-80, 60.728905, 1.0, 764,1, 308, 268,97154.80000000604, 27,1
normal-81, 260.2249, 0.0, 573,100, 409, 44,72842.60000000315, 22,-2147483648
normal-82, 173.23395, 0.0, 555,100, 139, 117,70511.00000000294, 25,-2147483648
normal-83, 126.1943, 0.0, 501,100, 369, 208,63726.200000002296, 19,-2147483648
normal-84, 193.2589, 0.0, 577,100, 240, 443,73393.40000000318, 25,-2147483648
normal-85, 155.79474, 0.0, 558,100, 386, 174,70934.60000000296, 23,-2147483648
normal-86, 152.19067, 0.0, 560,100, 99, 231,71231.000000003, 22,-2147483648
